Energy_DPMD (eV),x,y,z
-45581.4573,5.3,5.5,9.9
-45582.89227,6.4,5.7,9.4
-45579.9265,6.5,8.2,9.9
-45582.52641,6.7,4.8,9.9
-45580.61311,6.9,12.9,9.1
-45582.83367,7.1,5.4,9.4
-45579.92829,7.4,6.5,9.1
-45579.93153,3.3,10.4,9.4
-45580.20141,3.6,8.0,9.9
-45580.12986,4.3,5.6,9.4
-45580.75521,4.8,4.9,9.9
-45581.78526,5.2,5.8,9.0
-45580.03127,5.9,6.7,10.3
-45580.3675,7.0,5.9,10.3
-45580.32045,7.3,12.9,9.0
-45580.6521,5.6,13.0,9.0
-45580.47144,6.1,12.0,9.0
-45580.83552,7.6,5.2,9.9
-45580.74001,8.0,5.0,9.4
-45580.31298,8.8,8.5,9.9
-45580.03873,3.2,8.9,10.3
-45580.4775,3.4,9.7,8.9
-45580.44216,5.3,13.1,8.9
-45580.1807,7.7,6.1,9.0
-45579.98737,4.0,9.9,10.0
-45580.63569,6.7,13.2,8.9
-45580.45957,7.0,12.2,8.9
-45581.15007,7.2,6.0,8.9
-45579.95826,7.2,8.6,9.3
-45581.1306,7.3,5.3,10.0
-45580.11221,8.5,8.4,10.0
-45580.28023,9.0,8.7,10.0
-45580.25179,3.3,8.1,10.0
-45580.10958,4.5,4.8,10.0
-45580.55929,4.6,5.7,9.3
-45579.93545,5.4,6.6,10.4
-45580.55496,5.7,5.9,8.9
-45580.07149,6.1,6.5,10.4
-45580.11366,6.2,5.4,10.7
-45580.01476,7.6,12.8,8.9
-45579.99301,8.8,10.0,9.3
-45579.93878,9.2,9.1,10.4
-45580.08727,5.6,4.9,10.7
-45581.69728,5.6,5.4,10.0
-45584.05299,6.0,4.8,9.3
-45582.41842,6.2,4.9,10.0
-45582.89583,6.9,5.6,9.3
-45582.4305,7.3,5.1,9.5
-45580.67791,3.2,9.8,9.1
-45580.63128,3.3,8.3,9.5
-45580.04403,3.3,9.5,10.2
-45580.55984,4.5,5.4,9.5
-45581.45403,5.0,5.7,9.5
